0x3300.00  abs1_output
0x33C1.00  tmr1_enable
0x3923.00  tmr1_high
0x3940.00  TMR1_Hourmeter_Output
0x33BE.00  tmr1_hr_output
0x3920.00  tmr1_low
0x33B8.00  tmr1_ms_output
0x3926.00  tmr1_output
0x33BB.00  tmr1_sec_output
0x33C2.00  tmr2_enable
0x3924.00  tmr2_high
0x3941.00  TMR2_Hourmeter_Output
0x33BF.00  tmr2_hr_output
0x3921.00  tmr2_low
0x33B9.00  tmr2_ms_output
0x3927.00  tmr2_output
0x33BC.00  tmr2_sec_output
0x33C3.00  tmr3_enable
0x3925.00  tmr3_high
0x3942.00  TMR3_Hourmeter_Output
0x33C0.00  tmr3_hr_output
0x3922.00  tmr3_low
0x33BA.00  tmr3_ms_output
0x3928.00  tmr3_output
0x33BD.00  tmr3_sec_output
0x361B.00  Trip_Odometer_1
0x361F.00  Trip_Odometer_2
0x361C.00  Trip_Odometer_2
0x304D.00  Typical_Max_Speed
0x3605.00  UnderVoltageCutback
0x3225.00  UpperSwitchByte
0x33D1.00  user1
0x33DA.00  user10
0x3434.00  user100
0x3435.00  user101
0x3436.00  user102
0x3437.00  user103
0x3438.00  user104
0x3439.00  user105
0x343A.00  user106
0x343B.00  user107
0x343C.00  user108
0x343D.00  user109
0x33DB.00  user11
0x343E.00  user110
0x343F.00  user111
0x3440.00  user112
0x3441.00  user113
0x3442.00  user114
0x3443.00  user115
0x3444.00  user116
0x3445.00  user117
0x3446.00  user118
0x3447.00  user119
0x33DC.00  user12
0x3448.00  user120
0x33DD.00  user13
0x33DE.00  user14
0x33DF.00  user15
0x33E0.00  user16
0x33E1.00  user17
0x33E2.00  user18
0x33E3.00  user19
0x33D2.00  user2
0x33E4.00  user20
0x33E5.00  user21
0x33E6.00  user22
0x33E7.00  user23
0x33E8.00  user24
0x33E9.00  user25
0x33EA.00  user26
0x33EB.00  user27
0x33EC.00  user28
0x33ED.00  user29
0x33D3.00  user3
0x33EE.00  user30
0x33EF.00  user31
0x33F0.00  user32
0x33F1.00  user33
0x33F2.00  user34
0x33F3.00  user35
0x33F4.00  user36
0x33F5.00  user37
0x33F6.00  user38
0x33F7.00  user39
0x33D4.00  user4
0x33F8.00  user40
0x33F9.00  user41
0x33FA.00  user42
0x33FB.00  user43
0x33FC.00  user44
0x33FD.00  user45
0x33FE.00  user46
0x33FF.00  user47
0x3400.00  user48
0x3401.00  user49
0x33D5.00  user5
0x3402.00  user50
0x3403.00  user51
0x3404.00  user52
0x3405.00  user53
0x3406.00  user54
0x3407.00  user55
0x3408.00  user56
0x3409.00  user57
0x340A.00  user58
0x340B.00  user59
0x33D6.00  user6
0x340C.00  user60
0x340D.00  user61
0x340E.00  user62
0x340F.00  user63
0x3410.00  user64
0x3411.00  user65
0x3412.00  user66
0x3413.00  user67
0x3414.00  user68
0x3415.00  user69
0x33D7.00  user7
0x3416.00  user70
0x3417.00  user71
0x3418.00  user72
0x3419.00  user73
0x341A.00  user74
0x341B.00  user75
0x341C.00  user76
0x341D.00  user77
0x341E.00  user78
0x341F.00  user79
0x33D8.00  user8
0x3420.00  user80
0x3421.00  user81
0x3422.00  user82
0x3423.00  user83
0x3424.00  user84
0x3425.00  user85
0x3426.00  user86
0x3427.00  user87
0x3428.00  user88
0x3429.00  user89
0x33D9.00  user9
0x342A.00  user90
0x342B.00  user91
0x342C.00  user92
0x342D.00  user93
0x342E.00  user94
0x342F.00  user95
0x3430.00  user96
0x3431.00  user97
0x3432.00  user98
0x3433.00  user99
0x3449.00  user_bit1
0x3452.00  user_bit10
0x344A.00  user_bit2
0x344B.00  user_bit3
0x344C.00  user_bit4
0x344D.00  user_bit5
0x344E.00  user_bit6
0x344F.00  user_bit7
0x3450.00  user_bit8
0x3451.00  user_bit9
0x323B.00  User_Fault_Action_01
0x323C.00  User_Fault_Action_02
0x323D.00  User_Fault_Action_03
0x323E.00  User_Fault_Action_04
0x323F.00  User_Fault_Action_05
0x3240.00  User_Fault_Action_06
0x3241.00  User_Fault_Action_07
0x3242.00  User_Fault_Action_08
0x3243.00  User_Fault_Action_09
0x3244.00  User_Fault_Action_10
0x3245.00  User_Fault_Action_11
0x3246.00  User_Fault_Action_12
0x3247.00  User_Fault_Action_13
0x3248.00  User_Fault_Action_14
0x3249.00  User_Fault_Action_15
0x324A.00  User_Fault_Action_16
0x308C.00  User_Measured_Motor_Temperature_Enable
0x3512.00  User_Motor_Temperature
0x3049.00  User_Overvoltage
0x304A.00  User_Undervoltage
0x3238.00  UserFault1
0x389A.00  UserFault1_History
0x3239.00  UserFault2
0x389B.00  UserFault2_History
0x3463.00  VCL_App_Ver
0x3219.00  VCL_Brake
0x301E.00  VCL_Brake_Enable_Bit0
0x30B3.00  VCL_Hyd_Throttle
0x3898.00  VCL_Hyd_Throttle_Enable_Bit0
0x320E.00  VCL_PD_Throttle
0x38B7.00  VCL_Steer
0x38A5.00  VCL_Steer_Enable_Bit0
0x3218.00  VCL_Throttle
0x3099.00  VCL_Throttle_Enable_Bit0
0x35C1.00  Vehicle_Acceleration
0x3200.00  Vehicle_Odometer
0x320A.00  Vehicle_Speed
0x3093.00  Vel_FF_Build_Rate_SpdM
0x3094.00  Vel_FF_Release_Rate_SpdM
0x3FFF.00  Which_Micro_Am_I
0x30BE.00  Yellow_LED
